page_index,precision,recall,f1,predicted
0,0.4,0.18181818181818182,0.25000000000000006,"pada,vast,maku,muka,maailm"
1,0.5714285714285714,0.4444444444444444,0.5,"pada,maku,muka,maailm,kotijäätelö,nute,vast"
2,0.6,0.42857142857142855,0.5,"pada,maku,muka,maailm,ruoka"
3,0.3333333333333333,0.3333333333333333,0.3333333333333333,"juhl,voileipäkaku,seura,maailm,maku,ruoka"
4,0.5,0.5,0.5,"maailm,seura,maku,piz,juhl,menu,ruoka,an"
5,0.2,0.2,0.20000000000000004,"menu,seura,juhl,maailm,riisipalo,maku,ruoka,munakaskäärö,graaviloh,japanilain"
6,0.375,0.5,0.42857142857142855,"seura,juoma,maailm,ruoka,test,maku,cava,an"
7,0.2,0.18181818181818182,0.1904761904761905,"maku,väri,tuoksu,freixen,brut,gran,elys,cordo,seura,seco"
8,0.2222222222222222,0.3333333333333333,0.26666666666666666,"maku,tuoksu,väri,belvoir,juoma,seura,maailm,test,ruoka"
9,0.42857142857142855,0.42857142857142855,0.42857142857142855,"seura,maailm,leipä,maku,ruoka,italialain,an"
10,0.4,0.18181818181818182,0.25000000000000006,"pada,vast,maku,muka,maailm"
11,0.5,0.2857142857142857,0.36363636363636365,"pada,maku,maailm,muka"
12,0.6666666666666666,0.36363636363636365,0.4705882352941177,"pada,maku,muka,maailm,broiler,ruoka"
13,0.4,0.2222222222222222,0.2857142857142857,"pada,vast,maku,muka,maailm"
14,0.5,0.2857142857142857,0.36363636363636365,"pada,maku,muka,maailm"
15,0.5,0.2857142857142857,0.36363636363636365,"pada,maku,muka,maailm"
16,0.5,0.3,0.37499999999999994,"pada,vast,maku,muka,maailm,kotijäätelö"
17,0.6,0.42857142857142855,0.5,"pada,maku,muka,maailm,broiler"
18,0.5,0.2857142857142857,0.36363636363636365,"pada,maku,muka,maailm"
19,0.6,0.5,0.5454545454545454,"pada,maku,muka,maailm,broiler"
20,0.5,0.2,0.28571428571428575,"pada,maku,muka,maailm"
21,0.5714285714285714,0.4444444444444444,0.5,"pada,maku,muka,maailm,kotijäätelö,nute,vast"
22,0.5,0.2,0.28571428571428575,"pada,maku,muka,maailm"
23,0.6,0.375,0.4615384615384615,"pada,maku,muka,maailm,ruoka"
24,0.6,0.3,0.4,"pada,maku,muka,maailm,ruoka"
25,0.6666666666666666,0.6666666666666666,0.6666666666666666,"pada,maku,muka,maailm,kotijäätelö,nute"
26,0.5,0.25,0.3333333333333333,"pada,maku,muka,maailm"
27,0.5,0.3333333333333333,0.4,"pada,maku,muka,maailm,helpo,ruoka"
28,0.6,0.42857142857142855,0.5,"pada,maku,muka,maailm,ruoka"
29,0.5,0.2857142857142857,0.36363636363636365,"pada,maku,muka,maailm"
30,0.4,0.14285714285714285,0.21052631578947364,"sekavihannes,pada,maku,muka,maailm"
31,0.5,0.3333333333333333,0.4,"pada,maku,muka,maailm"
32,0.6,0.42857142857142855,0.5,"pada,maku,muka,maailm,kotijäätelö"
33,0.5,0.5,0.5,"pada,maku,muka,maailm,siirap,kotijäätelö"
34,0.0,0.0,0.0,"maailm,maku,vast,kasvispae"
35,0.0,0.0,0.0,"maailm,maku,kasvispae"
36,0.6666666666666666,0.4444444444444444,0.5333333333333333,"maailm,seura,maku,ruoka,resept,an"
37,0.16666666666666666,0.14285714285714285,0.15384615384615383,"seura,maailm,resept,maku,ruoka,an"
38,0.2,0.25,0.22222222222222224,"piz,bangkok,expres,seura,maailm,resept,maku,ruoka,aas,an"
39,0.42857142857142855,0.5,0.4615384615384615,"seura,maailm,ruoka,resept,maku,liharuoa,an"
40,0.0,0.0,0.0,"seura,maailm,resept,maku,ruoka,kala"
41,0.375,0.375,0.375,"seura,maailm,ruoka,resept,maku,välimer,lammas,an"
42,0.25,0.3333333333333333,0.28571428571428575,"seura,maailm,resept,maku,ruoka,ital,leivä,an"
43,0.2857142857142857,0.2857142857142857,0.2857142857142857,"seura,maailm,resept,maku,ruoka,leivä,an"
44,0.25,0.5,0.3333333333333333,"seura,maailm,piirak,resept,maku,joulu,ruoka,gluteenito"
45,0.25,0.25,0.25,"seura,maailm,resept,maku,leivon,ruoka,piirak,vast"
46,0.5,0.4444444444444444,0.47058823529411764,"seura,maailm,lammas,resept,maku,ruoka,grillaus,grilliruoa"
47,0.5555555555555556,0.7142857142857143,0.6250000000000001,"seura,maailm,resept,maku,ruoka,bataat,grillaus,grilliruoa,pars"
48,0.1111111111111111,0.16666666666666666,0.13333333333333333,"lisä,herku,seura,maailm,resept,maku,ruoka,aas,an"
49,0.2857142857142857,0.2857142857142857,0.2857142857142857,"seura,joulu,maailm,resept,maku,ruoka,suomi"
50,0.0,0.0,0.0,"seura,maailm,resept,maku,ruoka"
51,0.6666666666666666,0.6666666666666666,0.6666666666666666,"maailm,seura,maku,ruoka,resept,kiinalain,aas,an,peru"
52,0.16666666666666666,0.14285714285714285,0.15384615384615383,"seura,maailm,resept,maku,ruoka,an"
53,0.25,0.3333333333333333,0.28571428571428575,"seura,maailm,resept,maku,ruoka,välimer,salaat,an"
54,0.25,0.3333333333333333,0.28571428571428575,"seura,maailm,resept,maku,ruoka,tillipesto,siika,pesto"
55,0.42857142857142855,0.5,0.4615384615384615,"seura,maailm,piirak,resept,maku,ruoka,suolais"
56,0.2857142857142857,0.25,0.26666666666666666,"seura,maailm,resept,maku,leivon,ruoka,kaksplus"
